qfe,aus,nzl,xoc,chn,hkg,jpn,kor,mng,twn,xea,brn,khm,idn,lao,mys,phl,sgp,tha,vnm,xse,bgd,ind,npl,pak,lka,xsa,can,usa,mex,xna,arg,bol,bra,chl,col,ecu,pry,per,ury,ven,xsm,cri,gtm,hnd,nic,pan,slv,xca,dom,jam,pri,tto,xcb,aut,bel,cyp,cze,dnk,est,fin,fra,deu,grc,hun,irl,ita,lva,ltu,lux,mlt,nld,pol,prt,svk,svn,esp,swe,gbr,che,nor,xef,alb,bgr,blr,hrv,rou,rus,ukr,xee,xer,kaz,kgz,xsu,arm,aze,geo,bhr,irn,isr,jor,kwt,omn,qat,sau,tur,are,xws,egy,mar,tun,xnf,bfa,cmr,civ,gha,gin,nga,sen,tgo,xwf,xcf,xac,eth,ken,mdg,mwi,mus,moz,rwa,tza,uga,zmb,zwe,xec,bwa,nam,zaf,xsc,xtw
pdr,5.593844,3.888359,13.465152,2.979219,2.568753,-0.567606,0.67736,5.23653,2.634747,4.038697,4.886406,0.860598,-0.31408,-0.126384,5.552852,2.093163,4.770659,-0.354204,2.081222,-0.150085,0.308869,0.671824,0.795028,2.24823,0.677985,-0.369585,-5.338395,2.412827,0.225103,0.19954,3.590262,1.006411,3.860744,-0.542492,3.184247,1.314606,3.200646,0.271603,2.967376,-1.986903,1.59644,5.424071,0.530358,0.423765,-0.182607,0.853626,0.41629,23.139379,3.901042,-18.522057,4.670876,-2.267852,-1.25891,5.444538,19.17026,7.536203,7.274779,5.356874,-0.202242,3.882526,-0.455141,3.248439,3.565634,-0.685907,5.954552,2.364739,1.104806,11.178532,3.778847,4.057101,1.155965,5.383326,2.530603,5.594082,2.401852,3.320507,1.955421,8.216251,0.254141,4.219848,4.539317,0.271659,-0.332692,3.057565,3.038348,0.482838,1.098303,3.042561,3.07882,1.306028,3.731626,3.669591,4.168971,6.150943,1.654019,6.430801,3.000148,1.009424,-2.070089,0.514997,11.04358,1.708495,2.764407,12.032118,0.912079,14.996605,0.18852,1.252875,1.81074,-2.469361,0.593035,-20.606127,2.135587,5.468908,3.855836,4.185467,-2.050558,-6.676736,1.567888,3.08197,-2.483527,-1.856067,-0.72998,-1.535527,0.156003,-1.209922,0.353877,0.918137,-3.104688,-0.35909,0.367404,-0.971321,2.29387,0.897792,-2.19701,1.342864,1.513099,0.410096,1.059778
wht,-8.029182,10.274074,-14.7076,5.510134,-7.47214,-7.658566,-8.092622,1.35291,-15.938514,-0.32022,-59.066489,-30.195684,-45.978236,0.269768,-65.43168,-36.277226,-28.73805,-9.268346,-46.010755,-28.231698,-12.197326,6.782003,6.440003,1.267926,-48.196494,3.706807,14.907505,-4.37959,-15.503866,3.02772,3.38711,7.388018,-17.146143,-1.259809,-28.409352,-46.182159,-12.563111,-6.346723,-3.502825,-27.757053,-18.987877,-49.735324,-16.377213,-28.831772,-41.720246,-45.137603,-44.822358,-59.27281,-63.522687,-55.434476,-22.184089,-43.263586,-11.937436,-0.636228,-1.986404,-13.81475,-1.75244,0.12756,-1.45701,14.648935,3.336125,1.10768,-3.513054,-0.795888,-0.515762,-1.921377,2.405475,6.340572,-3.600713,-12.572019,-1.715931,-0.084154,-8.163826,0.778755,-2.799863,-5.226486,4.476897,1.366221,-0.923666,5.457017,-0.699418,-5.614198,3.401825,-0.653223,0.098766,-0.353503,15.362458,0.707267,-0.409244,0.660135,3.200443,-2.607271,1.262164,0.850203,0.47924,0.178368,-10.858694,3.835744,-5.937055,-7.453009,-4.13387,-18.080099,-2.226714,8.1181,-1.591607,-31.559809,-2.979763,-11.380506,-1.846659,-12.100939,-12.96561,-40.650818,-47.811574,-62.976342,-42.35438,-35.62262,-67.4691,-45.734002,-67.296312,-47.589575,-36.148878,-16.320869,-9.92448,-72.697497,-32.962994,-43.322839,-32.924627,-35.658545,-21.529446,-27.286794,-46.594063,7.64746,-3.920093,-24.795958,-1.169991,-9.219774,0.106438,-3.12514,2.75275
gro,3.660225,2.815437,3.478922,4.329018,1.607436,-2.308113,-1.369715,3.155124,2.493153,5.209925,4.663823,3.368192,0.945691,3.985833,4.149648,2.819265,2.370658,1.109806,2.536097,2.732064,0.827395,1.765381,1.537809,2.419479,1.6482,1.436167,-4.299699,0.374471,2.06238,0.092566,1.89116,2.147669,2.91498,0.097826,3.694352,4.210318,4.513781,1.989928,2.447479,0.888657,1.233568,3.190401,3.062096,5.48728,4.243327,1.984347,3.109752,29.21776,1.992026,2.404017,4.379363,-2.434139,0.759006,1.068231,-2.049892,2.214603,0.695715,-0.158803,-1.069969,1.47733,-0.865403,-0.82539,1.395148,1.001252,2.063134,0.883754,-2.947448,1.534669,-1.977323,1.208115,-4.152093,1.718548,1.199303,1.865726,0.582255,0.708704,-1.878088,0.912235,1.137455,1.707284,2.556326,1.360067,3.28445,1.871446,2.12727,1.807424,0.152335,0.794494,0.929847,2.150997,3.101241,2.219452,1.636628,2.474752,1.379038,2.490655,4.672704,1.425058,0.428239,1.429059,3.498247,2.787929,2.695277,0.198383,0.249382,2.887486,1.949702,1.114798,1.639355,-0.126473,0.576119,9.02748,1.150721,8.86331,5.438594,6.670103,1.038183,4.193017,9.490883,6.262984,4.388187,1.507917,1.709244,1.70881,3.142881,1.387763,2.979147,1.710782,-0.888726,2.254945,2.150082,1.243833,1.816656,5.201685,3.192777,3.481818,2.176968,0.468529,2.318238
v_f,3.138128,4.459899,5.500726,-1.460389,-2.174833,0.661642,0.931561,0.31318,1.85695,3.306231,-0.084357,1.628756,2.591185,2.077088,0.419914,0.505446,-5.360349,1.444116,-0.281258,3.091404,0.468655,1.415324,-0.467453,0.925044,2.129734,0.880643,-0.529732,0.065931,0.141588,-4.360231,1.70466,1.542938,2.762065,1.988229,5.342573,-1.031807,5.219193,2.215124,3.451002,4.953274,-0.153127,-1.025232,1.617994,4.537819,4.461471,-5.94501,4.510375,32.707205,1.15482,0.429104,3.821113,-6.793623,2.376171,2.999097,-0.803493,-0.564264,1.786043,1.556211,-1.774389,-2.193912,0.270979,1.784529,0.392957,4.228458,5.990072,-0.94097,-2.733432,2.210233,0.631799,0.925803,-1.034813,2.100125,0.196973,1.57167,-0.337562,-0.090726,-0.204689,2.695593,-0.856406,2.006956,0.815246,1.250894,-2.452807,-1.458424,1.060925,-0.855422,-3.397044,-1.401112,-0.196653,-0.941619,-1.718766,0.019411,-0.806961,-0.703188,0.923776,0.721909,0.540952,1.207051,1.405786,2.4485,2.719687,1.134471,0.876255,0.377055,1.175364,1.665563,1.58211,1.548204,2.317781,1.640441,1.596967,1.908153,2.422599,6.259758,5.741428,2.00295,2.98771,1.12688,6.430798,1.252884,3.784856,1.666711,2.665124,2.438074,1.65315,2.829207,4.555715,0.9888,0.96687,2.494924,4.529629,2.603053,0.83976,4.781113,2.902847,2.582314,1.64507,1.002275,1.107847
osd,-0.540054,2.397825,-3.33075,0.871592,-9.638042,-12.336171,-8.481546,31.942774,-8.15172,-11.37881,0.755591,1.506273,-1.909338,1.263489,-0.309071,0.975785,-5.395401,-6.455251,-6.63175,1.790025,0.101648,0.362392,0.436595,0.788391,-0.288705,0.031183,-2.063205,1.615547,-9.493029,-3.547932,-1.320676,-2.640127,-2.260268,-2.634956,3.49759,5.632662,-1.9653,3.590834,-2.172271,-7.454022,-2.367913,-4.149172,0.493657,0.246451,-9.710489,1.117841,5.584692,29.272083,-0.030798,4.948132,-3.509703,-12.618831,-1.752561,5.64082,1.812716,3.194751,1.032446,4.317342,-0.939335,3.636874,0.56237,0.535216,3.295238,0.379191,5.383609,1.031257,-0.032407,0.172549,5.487341,-0.978053,-3.682869,1.101524,3.492051,2.318764,1.412896,0.947621,1.550051,2.53567,6.919967,6.68145,6.967413,1.614224,1.717049,-1.243848,0.410237,3.276965,0.508639,3.931442,0.86194,-0.056692,6.790896,-1.021399,3.522847,-1.402629,-1.90714,7.966661,50.026302,0.207225,-4.403974,-0.821824,7.358965,2.759942,11.379908,1.708872,-1.757386,0.052857,-0.261118,-2.936741,0.475133,-6.123787,5.85131,-19.978531,3.370457,15.012626,5.3591,7.477208,-0.545112,2.963311,-5.202997,-1.063394,3.386612,2.625117,-7.744343,3.290669,2.655758,3.510826,-3.073648,-3.627636,0.89202,0.053687,-2.681014,2.468784,4.453511,-0.11053,3.732729,4.076006,3.009119,2.837072,-3.112492
c_b,5.221508,6.109702,8.7206,-0.99675,-1.226346,1.645208,4.837124,-0.887502,-0.737925,7.010712,1.201421,2.659662,-0.114126,3.35503,-0.435813,2.20448,4.078165,5.567639,4.404045,3.652105,2.82722,2.054084,-0.507183,1.502929,-3.904021,1.667745,-9.275929,-2.475924,4.988147,-4.067847,2.288946,9.114098,2.177739,-2.527738,7.435121,5.124635,4.55602,5.45838,5.41501,2.745971,1.244013,6.873714,4.648255,5.296112,6.519122,6.993039,7.452287,29.713978,3.444947,-16.098786,7.06961,2.027481,2.787939,-2.441471,-4.708904,5.874676,-1.989855,-3.69416,-3.672204,-1.563033,-2.604935,-2.865922,3.502788,0.120803,-0.489159,1.849593,-3.49947,-1.931355,-1.247812,2.390219,-5.654131,-1.409723,8.494559,-1.810034,0.537627,2.05323,-5.721621,0.847228,-1.655708,-1.048371,-0.502697,1.419601,4.772728,4.45332,-0.308333,1.881071,-4.463285,-1.635784,-1.032537,-1.005683,-1.025209,5.458095,-1.027519,-1.316757,0.185948,-1.712212,6.04101,-0.694142,2.487544,1.963321,8.707628,0.684675,5.595686,10.564044,2.642773,10.466319,6.967741,2.169321,1.331416,5.378847,6.877201,9.400584,2.351385,6.150241,4.27493,9.631037,2.541959,6.995396,9.180708,2.91975,-0.931777,3.053916,3.394948,-0.18876,5.006976,2.945902,-7.473931,6.520091,5.380285,6.471618,-5.795342,4.016516,0.482723,3.528911,3.297058,3.661396,2.478311,-0.327858,2.129031
pfb,-0.029749,3.595183,2.946304,0.536657,-9.276986,-6.534235,-9.22548,9.095217,-7.179469,-6.342697,-3.846669,3.407197,-7.024456,0.935658,-2.939102,-1.774514,-8.937616,-7.727793,-6.324455,1.337688,0.199557,-2.482246,0.300996,-2.532891,-4.96684,0.037287,-8.052897,3.765533,-3.271093,-1.542653,1.226498,4.978626,-1.58505,-3.478818,-4.782113,-0.576979,-0.081075,-2.405591,3.207756,1.985007,1.843786,3.769857,-5.617573,6.227493,3.34401,3.18787,-7.500252,10.906302,-3.081188,-0.310996,-0.346864,-4.293978,1.572144,3.119163,-0.696365,3.526977,-0.938454,-0.545733,-4.041362,2.898904,0.178763,9.674216,-2.291898,2.118856,15.101788,2.858484,-2.554382,-0.266495,3.362043,0.722053,-4.711827,1.284314,2.554352,-1.755375,7.687498,0.370462,4.088819,7.465122,2.350922,-1.674678,10.002041,4.232593,-2.560464,-0.867467,0.910957,0.174159,5.797705,-0.746257,-0.756552,-0.045952,4.023257,1.808022,4.265747,-0.827792,-0.029674,1.857677,3.151193,-0.183677,-0.689499,1.397846,7.103694,-2.248065,5.655599,4.45077,-1.730701,-2.506124,0.348559,1.41737,1.041328,-1.67345,0.909032,-23.907711,-19.00697,6.386107,-3.425272,6.666687,-31.630777,-3.260358,-6.017476,-18.435878,-13.739043,3.881388,1.03049,-23.848259,3.14429,-8.01829,-2.957483,-5.437775,6.309658,-8.209597,-8.996327,-3.479789,-2.567787,2.697954,0.843988,-6.391585,0.650168,-0.578341,0.986955
ocr,4.726056,12.426037,-3.974591,14.027246,-10.118221,2.440145,0.827223,71.938502,-3.69864,3.672493,-3.516506,-0.650047,-0.664512,2.405798,4.819193,0.162327,-10.122259,-0.407637,-2.206661,2.245367,1.769567,1.314509,1.167749,0.907963,-1.381201,2.37869,2.59532,6.227655,0.474241,1.95042,3.070437,3.426474,2.974117,9.208561,-7.99085,1.502226,3.320654,0.342467,5.6334,4.252912,1.78876,0.39701,-4.128431,-1.538079,-3.258023,5.90427,-8.316139,36.122903,-4.713892,0.81443,2.588269,-1.714656,4.364416,2.776013,10.017262,2.549296,2.269805,8.11808,14.619522,7.76006,3.253812,5.70972,6.478196,1.687848,2.066224,3.041409,9.822913,-1.255676,6.599119,0.627012,12.02267,4.481559,1.857309,1.171838,1.056011,3.306855,1.711997,10.878408,7.071102,2.689044,5.674462,1.034389,1.78457,-0.750928,3.308963,-0.440319,13.007947,6.774473,6.177644,7.022116,5.935405,8.985514,3.510082,1.533806,1.676514,4.400463,-2.452933,0.760093,2.023016,2.866432,0.36467,-3.452785,-1.166731,10.913597,0.90428,-6.314874,9.798734,0.323068,4.008829,2.338921,4.449336,1.470593,-14.213201,-10.781372,-24.897283,-31.902515,-14.232465,-9.705738,-13.567251,-9.137197,-11.638611,2.253171,1.763012,-3.991952,-0.948549,-3.592033,1.928574,-5.446996,-4.495494,-4.729423,-9.203591,-0.162739,1.988374,1.620405,2.375841,-7.50926,5.677488,0.755338,6.754998
ctl,-0.477503,-0.837088,-1.412521,-1.704192,-4.243209,-4.687667,-3.606674,-1.874763,-4.660676,-0.287546,-0.546789,-2.977626,-6.305493,-4.043659,-2.738446,-5.29553,-7.07295,-4.231837,-2.905058,-4.870786,-2.924294,-0.539285,-2.884082,-3.316434,-3.228998,-3.501722,-8.102612,-4.163847,-2.15457,-4.397007,-2.117394,-2.971373,-2.768984,-4.061462,-1.683672,-3.249273,0.229282,-2.896081,-0.956816,-4.277252,-2.595791,0.836132,-1.932686,-0.688432,1.058639,-2.265044,-3.231682,14.822233,-1.142434,-1.635401,-1.146873,-2.074696,-2.87769,-2.03788,-6.650493,-0.321785,-1.481363,-2.225116,-6.803638,-2.607645,-4.482753,-3.088445,-2.557391,-2.307629,-0.527589,-2.833118,-1.715049,-2.663144,-3.971458,-1.883075,-8.304214,-1.363894,-2.735062,-1.735508,-3.12178,-3.115014,-4.520404,-2.732471,-3.135836,-1.838631,-1.369457,-2.697997,-1.5642,-1.494607,-2.10277,-2.692345,-2.377246,-1.840138,-3.094357,-1.711302,-1.866273,-1.289036,-1.388827,-1.155344,-3.025765,-1.078888,-5.527074,-3.843356,-4.228045,-2.735034,-2.332084,-5.080894,-5.210066,-5.800803,-3.926888,-5.846478,-2.995254,-4.011163,-2.36813,-3.088551,-3.046276,0.687367,-4.201984,3.556319,-1.285229,-0.395113,-5.618872,-1.174653,1.640902,0.562919,-2.220141,-5.155423,-4.022157,-4.861699,-1.920485,-4.193473,-4.663555,-3.95037,-4.670687,-3.655182,-4.084156,-3.956328,-3.420294,-1.533837,-2.056446,-2.228736,-3.376787,-3.7015,-2.498237
oap,-1.910159,-0.954167,-3.756264,-1.707972,-4.852919,-5.59412,-4.491506,-0.96313,-4.693779,-0.950028,-0.478879,-2.851377,-5.598163,-4.238561,-3.017803,-3.061651,-1.900778,-4.023769,-3.133009,-5.28063,-4.879252,-4.716953,-3.262775,-3.866427,-4.434362,-3.647259,-8.664248,-3.274048,-2.622776,-4.519477,-3.574172,-3.202623,-2.138146,-5.59058,-1.376514,-3.467518,-0.903129,-3.738758,-0.567477,-5.466877,-2.744335,-0.141945,-1.802367,-0.650257,-1.796252,-2.274573,-2.419298,16.527792,-1.70881,-1.930208,-1.139773,-2.498788,-4.381911,-3.411406,-6.326896,0.021784,-1.714487,-2.832056,-5.4474,-2.143045,-5.018815,-4.548697,-2.609591,-2.152067,-0.648864,-2.464102,-5.041507,-2.464398,-2.523112,-2.032549,-7.748824,-2.233785,-3.006262,-1.565755,-2.583366,-3.151208,-4.743704,-2.399062,-3.034122,-1.209012,-1.0134,-2.543575,-2.025114,-1.094084,-2.796866,-1.246943,-2.674777,-1.787033,-1.115144,-1.961315,-1.822614,-1.248049,-1.429937,-1.438672,-3.066348,-1.156039,-4.121622,-3.547056,-3.708476,-3.093458,-2.553142,-3.56327,-4.281668,-4.256271,-4.477692,-7.742577,-3.13044,-4.192967,-2.509623,-3.551429,-3.409527,0.262228,-5.059871,0.991576,-2.373189,0.054904,-10.452987,-1.619917,1.113965,-2.375046,-2.933687,-5.764406,-4.637002,-9.29569,-1.918575,-3.137177,-1.194501,-4.340231,-5.497301,-3.594678,-3.442258,-4.509873,-3.735493,-2.065827,-1.063438,-2.374686,-3.185382,-4.383124,-2.498764
rmk,-0.177687,-2.140548,-0.570073,-1.714788,-1.613945,-5.041388,-3.519574,1.890244,-5.447546,-0.938919,-5.86606,-4.540309,-6.191235,-1.728595,-3.534829,-4.447854,-4.432471,-4.565678,-5.071904,-2.680898,-2.925947,-4.10767,-3.379662,-3.34911,-4.689044,-4.196349,-8.898884,-4.08529,-1.523662,-5.450879,-2.274354,-3.070673,-2.553306,-3.77188,-1.221638,-3.363793,-0.643953,-3.173934,-0.562243,-4.957266,-2.476515,0.35858,-1.558366,-0.858285,-4.263692,-2.511412,-2.405688,17.415301,-2.178445,-1.096493,-0.315703,-2.532916,-5.355659,-3.158967,-6.594547,0.135087,-1.91844,-3.817577,-4.649098,-3.075528,-5.056859,-4.282628,-2.382504,-1.80676,-1.68174,-2.788477,-3.027437,-1.469031,-2.649438,-2.168599,-8.407541,-1.514598,-3.05216,-1.352211,-2.216152,-3.02298,-4.991005,-2.811159,-2.878358,-1.674982,-2.025932,-2.655471,-2.429746,-1.442471,-2.414293,-1.903723,-3.266513,-1.400437,-0.623342,-2.000744,-1.886292,-1.67739,-1.267632,-0.848858,-3.334016,-0.888405,-3.058463,-3.832556,-3.719583,-3.223157,-3.280077,-1.840162,-2.437351,-10.055202,-3.703802,-4.260038,-2.387327,-3.344836,-2.251334,-3.323462,-3.101091,0.663278,-7.856445,3.458205,2.273776,0.224159,-18.096012,-5.569931,5.553068,-1.464996,-0.502741,-3.921219,-4.540259,-4.702477,-1.945186,-0.8913,-10.413575,-4.936977,-7.385319,-3.589964,-4.267526,-4.543143,-3.763768,-2.033189,-2.618684,-1.617629,-3.357537,-3.503596,-2.780767
wol,4.116259,0.260789,-1.210241,-4.872785,-1.91906,-4.704885,-5.297023,6.19308,-12.381049,-1.478261,-1.301417,-4.700203,-6.212474,-1.728914,-9.583557,-4.383875,-2.69934,-5.047539,-3.060221,13.700508,0.26484,-6.038474,-1.652251,-9.311144,-9.40114,-0.020908,-10.625423,-12.097849,-5.08696,-12.180015,-4.262987,-3.853615,-3.371469,-7.603414,0.12864,-2.100103,-0.665181,-3.595408,-1.288786,-5.353632,-12.245499,1.626766,-0.038409,0.307938,-7.613463,-1.554842,-1.905953,1.393987,-6.087105,0.612857,-2.65877,-9.437401,-4.277989,3.36746,17.347787,10.960656,13.274715,1.670699,-2.619584,9.325066,0.736169,0.211734,4.284063,-3.529496,9.125697,17.356827,-2.242611,0.870538,3.912541,3.600805,-1.766302,1.628185,2.061451,6.16904,-0.248212,22.519369,3.528271,5.913638,-4.885505,1.372737,7.609598,-4.525262,-0.9,-0.692749,-5.290184,1.384175,-2.18283,-1.256068,-3.632931,-3.24244,-1.316047,0.505108,-0.356606,-0.511575,-3.315521,-0.600878,9.70072,-4.068826,-7.979642,-1.80571,28.192628,2.892227,26.968191,15.245612,-3.831539,20.477888,-3.22311,-1.605182,-1.396192,0.034856,-0.935082,-2.33189,-7.17887,1.048994,27.47288,-7.565189,-25.248446,-0.520157,-0.72749,-8.063326,-4.637689,-4.267805,-4.694088,-26.786164,2.061128,-8.068685,-10.864096,-21.499733,-1.815031,-16.003475,5.807789,-15.551239,-3.443842,-2.594481,-0.092161,-1.076313,1.382926,1.759295,-0.937775
frs,-0.440902,-0.320624,0.598339,-2.11635,-4.483748,-3.914521,-3.787379,-1.216755,-6.96939,-2.576575,-19.314528,-3.034738,-9.81893,-8.372561,-6.709603,-5.672632,-4.069762,-6.492881,-7.696707,-10.455088,-5.345951,-5.905888,-2.410263,-2.997378,-8.212809,-2.722622,-7.154946,-2.701138,-1.321056,-3.788305,-1.261779,-1.433786,-2.471273,-3.042125,-3.366243,-2.65474,-2.468308,-2.38467,0.034021,-5.500951,-0.449077,0.240392,-1.52979,-7.07654,-5.604828,-6.291588,-2.880069,11.422768,-3.226016,-3.925329,-2.482279,-8.972582,-6.475605,-2.180153,-4.019588,-0.21132,-1.314326,-3.126992,-2.282755,-1.961551,-3.114628,-2.675728,-1.226531,-1.327233,-0.865932,-1.604558,-2.728807,-1.387879,-2.92593,-0.265668,-4.899065,-1.121639,-1.573319,-1.271157,-1.901494,-1.681882,-3.808272,-1.601567,-1.925161,-0.293799,-2.417463,-1.20087,-1.281919,-1.082511,-0.826101,-0.78272,-1.030464,-1.475684,-1.421037,-1.033268,-0.481577,-1.064154,-0.608693,-0.925789,-2.369792,-1.103211,10.993395,-2.789509,-3.651254,-2.339765,10.75164,-4.210118,7.023307,1.587231,-2.71167,6.316494,-2.504781,-0.917449,-1.625726,0.724791,0.508494,-0.703988,-4.138919,1.41527,-10.989957,0.446295,-20.281142,-2.816035,5.179937,-0.348173,-4.66795,-3.125184,-3.26955,-3.670973,-2.214333,-0.438695,-4.549488,-3.075549,-5.35811,-3.176486,-2.379741,-3.440716,-3.230863,-2.90216,-2.686395,-2.09596,-2.926472,-3.4867,-2.010651
fsh,-2.318633,-2.840653,-1.2674,-2.036365,-3.653365,-4.817766,-4.243015,-1.534146,-4.217324,-1.788491,-4.571458,-4.505291,-6.199201,-7.628384,-2.232577,-4.341013,-1.621823,-5.34061,-3.878852,-7.870745,-7.208474,-4.866998,-5.732673,-4.684241,-4.866404,-4.49186,-8.250922,-3.488492,-2.21102,-3.572969,-2.071289,-3.736599,-3.229121,-3.89837,-2.992359,-2.721811,-1.817208,-3.245995,-1.41416,-4.972944,-2.984755,-2.293852,-2.322197,-5.663731,0.666232,-4.271983,-3.136391,16.253912,-3.221986,-2.931079,-1.673906,-2.269637,-4.804486,-3.028582,-5.747897,-0.716119,-2.235176,-3.67378,-3.707428,-2.551249,-4.228634,-3.629003,-1.096789,-2.193447,-2.021775,-2.487143,-3.155862,-1.889055,-4.369439,-2.728424,-5.97304,-1.530458,-2.521254,-1.661715,-3.283315,-2.597554,-4.495262,-2.698898,-2.770071,-1.159351,-2.58948,-2.011529,-1.739051,-1.408506,-2.939401,-1.539911,-2.680065,-1.588646,-0.989078,-2.311846,-1.676958,-1.131281,-0.994562,-1.290375,-3.010807,-1.126491,-5.390238,-3.723988,-3.809388,-3.89969,-2.362828,-5.200081,-4.734982,-4.771346,-3.163545,-4.93717,-3.453397,-4.39103,-1.934402,-2.552141,-2.775269,-4.131655,-7.429793,-8.311877,-6.472315,-4.257516,-11.817215,-2.361991,-7.428399,-4.790345,-3.301598,-5.591445,-5.904097,-4.759525,-4.793722,-7.849895,-1.128246,-6.156919,-7.934093,-2.558871,-4.968817,-5.445502,-4.301998,-5.590645,-2.47505,-1.250553,-3.293876,-3.73126,-3.003169
coa,-3.705659,-5.503829,-2.460298,-3.146897,-5.173996,-5.927229,-4.784809,-2.358515,-5.29545,-0.531477,-2.616659,-21.718337,-1.609569,-33.78135,-0.589288,-1.9016,-2.032763,-3.697884,-3.333275,-25.430137,-19.393977,-3.695947,-3.154343,-14.964313,-3.93939,-3.072455,-9.850505,-4.330519,-3.035237,-5.337658,-2.965862,-3.714171,-2.701794,-5.138102,-0.118941,-3.78698,-1.338516,-2.646022,-2.747948,-3.592548,-3.738617,-0.224458,-3.819037,-2.359604,-0.659702,-0.577791,-4.288699,17.08385,-2.587381,-3.065738,0.333657,-0.349595,-2.318634,-4.115916,-7.390067,-1.917504,-3.172211,-5.287486,-10.021115,-3.870024,-5.95361,-4.598353,-1.179369,-3.103462,-3.269661,-5.66212,-5.440208,-3.4644,-5.961012,-5.182132,-7.640728,-2.6384,-4.495912,-2.976741,-4.199194,-4.042895,-6.736163,-3.923183,-3.711045,-2.499188,-4.400293,-2.308728,-2.844216,-2.216394,-3.555464,-2.022572,-3.807121,-3.314934,-3.334906,-2.270003,-2.000006,-1.902421,-1.712011,-1.313572,-4.561235,-30.925167,-21.530891,-4.175698,-4.218235,-4.333159,-12.990038,-12.548167,-17.135385,-28.740543,-3.930775,-43.865373,-2.316357,-3.727264,-2.705275,-2.513369,-1.872656,6.129711,-5.760575,6.06609,-32.233992,103.146374,-17.312722,0.376349,-17.525299,1.792798,-1.567792,-4.357104,60.652361,-5.389669,-7.262108,-0.366126,-4.839316,-0.723255,-4.336217,0.317758,-1.929337,-4.543191,-3.240601,-1.069302,-2.942397,-2.6799,-4.812996,-4.31928,-4.015401
oil,-2.84003,-3.929917,-1.095084,-2.365072,-4.322608,-5.524403,-4.232349,-1.56733,-4.011166,1.383715,-0.496187,-17.683811,-1.348853,-19.233017,0.728211,-0.765468,-1.83837,-1.995597,-1.591001,-22.007096,-5.836177,-2.364421,-1.460009,-4.826634,-2.918308,0.495093,-9.28024,-4.387648,-2.93419,-5.529221,-2.73834,-2.69919,-2.159424,-5.152527,-0.05005,-3.352168,-1.56088,-2.79669,-3.049964,-3.310614,-3.58545,-0.062323,-2.689925,-13.433284,-0.175859,0.689865,-5.230821,16.987093,-2.565354,-2.567592,0.231356,0.40924,-1.300032,-4.706673,-8.126276,-1.659387,-3.54924,-4.906318,-3.805452,-4.620043,-5.975827,-4.907427,-2.722273,-3.653575,-4.223917,-3.959525,-5.600089,-3.736364,-8.742366,-4.356366,-7.267132,-3.91856,-4.838753,-3.292944,-5.078434,-4.101172,-6.771426,-3.803769,-4.110259,-2.328307,-5.191127,-3.054948,-3.577048,-3.234164,-3.566215,-2.841913,-3.370446,-3.654155,-3.27119,-3.438531,-2.559903,-1.936356,-2.643386,-2.790064,-1.78489,-2.323044,-2.098535,-3.074129,-3.922553,-4.052556,0.09096,-2.593888,-1.747888,-2.68898,-4.202542,-2.4558,-1.935055,-1.887462,-3.290399,-2.191571,-1.550099,7.639051,-1.51603,7.636258,34.977419,-28.289239,-0.805098,1.727617,-7.211952,4.992235,-0.794117,-3.705256,-7.010428,-2.981492,0.435554,0.022013,-20.656001,-0.735008,-3.376415,-3.289338,-1.13224,-11.855994,-3.09297,0.046684,-3.136774,-3.179709,-4.006471,-3.714449,-3.672197
gas,-1.69425,-2.213313,0.497284,0.237343,-2.319035,-4.487482,-3.023203,-1.038111,-3.280167,-0.750569,0.642831,-1.408208,0.414211,-7.27563,1.548235,-1.883127,0.168087,-2.606376,-7.359022,-2.412611,-3.723393,-1.121642,-0.757802,-7.349309,-0.365745,0.869635,-8.544063,-3.764105,-2.201522,-4.724388,-2.096429,-2.24367,-1.193328,-4.437033,-1.150378,-3.481499,-2.094855,-2.030658,-1.609402,-2.841447,-2.639901,1.286404,-2.126879,-4.612035,-1.598786,0.570922,-3.997175,17.842452,-5.169728,-2.259546,1.440023,1.261317,-0.454893,-3.717075,-6.80462,-1.734571,0.208186,-4.164896,-3.794813,-3.358134,-4.98341,-4.234069,-1.903119,-2.716889,-3.18303,-3.083258,-4.264296,-2.621691,-5.931361,-3.810586,-6.593933,-2.965291,-3.738658,-2.621011,-3.557552,-2.017551,-4.675429,-3.138043,-3.128334,-1.607657,-3.788863,-2.621325,-2.712198,-1.669053,-2.627658,-1.921336,-2.424864,-2.727952,-2.964472,-2.545838,-1.335112,-1.395349,-1.816869,-1.093511,-1.132481,-1.470411,-2.588529,-2.054632,-3.231049,-3.654874,1.086815,-1.601735,-0.47141,-2.615557,-3.339716,-1.720802,-0.961698,-0.971634,-1.920983,-1.540691,-0.65295,8.510982,-24.679862,-4.891775,10.117597,-27.307651,0.009734,-1.430881,-6.552177,-0.614044,0.135112,-4.751577,-24.609881,-3.42997,-19.210186,0.947227,0.010598,-0.074591,-5.50671,-32.847225,-0.411124,-7.710317,-2.746576,1.249559,-2.461309,-3.310928,0.504998,-4.25109,-3.095118
